sku,vendor,track,market_segment,price_type,condition,date,period_label,currency,nominal_price,usd_nominal,usd_2026,source_id,confidence,sample_count,notes
GeForce GTX 1080 Ti,NVIDIA,consumer_crypto_proxy,consumer,retail_list,new,2018-01-15,2018_peak,USD,1200,1200,,jan2018_market_summary,C,,"Representative January 2018 peak street-price estimate; source summary cites ~$1200 versus $699 MSRP during crypto-mining shortage."
GeForce GTX 1070 Ti,NVIDIA,consumer_crypto_proxy,consumer,retail_list,new,2018-01-15,2018_peak,USD,700-800,750,,jan2018_market_summary,C,,"Representative peak listing range; usd_nominal is midpoint of source-summary range, not a transaction-weighted mean."
GeForce GTX 1070,NVIDIA,consumer_crypto_proxy,consumer,retail_list,new,2018-01-15,2018_peak,USD,800,800,,jan2018_market_summary,C,,"Representative early-2018 peak estimate from source-summary table; notes indicate volatile listings and frequent stock-outs."
GeForce GTX 1060 6GB,NVIDIA,consumer_crypto_proxy,consumer,retail_list,new,2018-01-15,2018_peak,USD,400-800,600,,jan2018_market_summary,C,,"Representative peak listing range; usd_nominal is midpoint, and range reflects volatile retailer/third-party availability."
Radeon RX 580 8GB,AMD,consumer_crypto_proxy,consumer,retail_list,new,2018-01-15,2018_peak,USD,500-700,600,,jan2018_market_summary,C,,"Representative January 2018 inflated listing range for RX 580 8GB; usd_nominal is midpoint, not completed-sale average."
Radeon RX 570,AMD,consumer_crypto_proxy,consumer,retail_list,new,2018-01-15,2018_peak,USD,350-500,425,,jan2018_market_summary,C,,"Representative January 2018 inflated listing range; usd_nominal is midpoint of source-summary range."
Radeon RX Vega 56,AMD,consumer_crypto_proxy,consumer,retail_list,new,2018-01-15,2018_peak,USD,800-1000,900,,jan2018_market_summary,C,,"Representative January 2018 inflated listing range; Vega cards were especially scarce and miner-sensitive, so confidence remains C."
Radeon RX Vega 64,AMD,consumer_crypto_proxy,consumer,retail_list,new,2018-01-15,2018_peak,USD,900-1200,1050,,jan2018_market_summary,C,,"Representative January 2018 inflated listing range; usd_nominal is midpoint and should be treated as proxy, not transaction data."
GeForce GTX 1080 Ti,NVIDIA,consumer_crypto_proxy,consumer,retail_list,new,2018-07-15,2018_stabilization,USD,720,720,,midlate2018_market_summary,C,,"Source-summary trend table lists GTX 1080 Ti around $720 by July 2018 as Pascal high-end inventory normalized before RTX transition; later December retail availability was N/A/phasing out."
GeForce GTX 1070 Ti,NVIDIA,consumer_crypto_proxy,consumer,retail_list,new,2018-12-09,late_2018_stabilization,USD,400,400,,techspot_rx590_crossfire_2018,C,,"Verified TechSpot December 2018 RX 590 Crossfire article shopping/value discussion references GTX 1070 Ti as the comparison tier; use rounded late-2018 market proxy, not a pricing-table row."
GeForce GTX 1070,NVIDIA,consumer_crypto_proxy,consumer,retail_list,new,2018-12-20,late_2018_stabilization,USD,335,335,,midlate2018_market_summary,C,,"Source-summary trend table lists GTX 1070 at $335 in December 2018; article-summary/table extraction, not independently opened raw table."
GeForce GTX 1060 6GB,NVIDIA,consumer_crypto_proxy,consumer,retail_list,new,2018-12-20,late_2018_stabilization,USD,230,230,,midlate2018_market_summary,C,,"Source-summary trend table lists GTX 1060 6GB at $230 in December 2018 after roughly 10% late-year decline."
Radeon RX 580 8GB,AMD,consumer_crypto_proxy,consumer,retail_list,new,2018-12-09,late_2018_stabilization,USD,200,200,,techspot_rx590_crossfire_2018,B,,"Verified TechSpot December 2018 RX 590 Crossfire article states the outcome would be similar using a pair of $200 RX 580s; retail-list proxy."
Radeon RX 570,AMD,consumer_crypto_proxy,consumer,retail_list,new,2018-12-09,late_2018_stabilization,USD,150,150,,techspot_rx590_crossfire_2018,B,,"Verified TechSpot December 2018 RX 590 Crossfire article says two RX 570s for $300, implying $150 each; retail-list proxy."
Radeon RX Vega 56,AMD,consumer_crypto_proxy,consumer,retail_list,new,2018-05-15,2018_stabilization,USD,400,400,,vega2018_market_summary,C,,"Source-summary of 2018 TechSpot pricing analysis cites Vega 56 around $400 by mid-2018 stabilization; used as trough/stabilization proxy where December table was not directly opened."
Radeon RX Vega 64,AMD,consumer_crypto_proxy,consumer,retail_list,new,2018-05-15,2018_stabilization,USD,500,500,,vega2018_market_summary,C,,"Source-summary of 2018 TechSpot pricing analysis cites Vega 64 around $500 by mid-2018 stabilization; close to launch MSRP, not a transaction-level observation."
